,Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,Open Int,Vol/OI,IV,LastTrade,Avg IV,Implied Volatility,Name,Time
0,"4,210.00 ",-1.16% ,9.40 ,9.55 ,9.70 ,9.58 ,-11.45 ,-54.45% ,"2,224 ",0 ,0.00 ,31.10% ,03/10/22 ,28.00% ,28.00%,S&P 500 Index,2022-03-11 12:59:01
1,"4,215.00 ",-1.05% ,10.40 ,10.55 ,10.70 ,10.71 ,-11.85 ,-52.53% ,"1,743 ",0 ,0.00 ,30.70% ,03/10/22 ,28.00% ,28.00%,S&P 500 Index,2022-03-11 12:59:01
2,"4,220.00 ",-0.93% ,11.50 ,11.65 ,11.80 ,11.70 ,-11.83 ,-50.28% ,"3,071 ",0 ,0.00 ,30.42% ,03/10/22 ,28.00% ,28.00%,S&P 500 Index,2022-03-11 12:59:01
3,"4,225.00 ",-0.81% ,12.60 ,12.75 ,12.90 ,12.80 ,-12.42 ,-49.25% ,"4,200 ",0 ,0.00 ,29.93% ,03/10/22 ,28.00% ,28.00%,S&P 500 Index,2022-03-11 12:59:01
4,"4,230.00 ",-0.69% ,13.80 ,14.00 ,14.20 ,14.03 ,-12.30 ,-46.71% ,"3,035 ",0 ,0.00 ,29.48% ,03/10/22 ,28.00% ,28.00%,S&P 500 Index,2022-03-11 12:59:01
5,"4,235.00 ",-0.58% ,15.20 ,15.35 ,15.50 ,15.86 ,-12.26 ,-43.60% ,"1,140 ",0 ,0.00 ,29.00% ,03/10/22 ,28.00% ,28.00%,S&P 500 Index,2022-03-11 12:59:01
6,"4,240.00 ",-0.46% ,16.60 ,16.75 ,16.90 ,16.70 ,-12.92 ,-43.62% ,"2,289 ",0 ,0.00 ,28.41% ,03/10/22 ,28.00% ,28.00%,S&P 500 Index,2022-03-11 12:59:01
7,"4,245.00 ",-0.34% ,18.20 ,18.35 ,18.50 ,20.18 ,-10.47 ,-34.16% ,"1,515 ",0 ,0.00 ,28.01% ,03/10/22 ,28.00% ,28.00%,S&P 500 Index,2022-03-11 12:59:01
8,"4,250.00 ",-0.22% ,20.00 ,20.15 ,20.30 ,20.20 ,-12.04 ,-37.34% ,"4,061 ",0 ,0.00 ,27.69% ,03/10/22 ,28.00% ,28.00%,S&P 500 Index,2022-03-11 12:59:01
9,"4,255.00 ",-0.11% ,21.80 ,22.00 ,22.20 ,21.90 ,-12.10 ,-35.59% ,848 ,0 ,0.00 ,27.02% ,03/10/22 ,28.00% ,28.00%,S&P 500 Index,2022-03-11 12:59:01
10,"4,260.00 ",+0.01% ,23.90 ,24.10 ,24.30 ,24.08 ,-12.12 ,-33.48% ,989 ,0 ,0.00 ,26.71% ,03/10/22 ,28.00% ,28.00%,S&P 500 Index,2022-03-11 12:59:01
11,"4,265.00 ",+0.13% ,26.30 ,26.50 ,26.70 ,26.55 ,-11.98 ,-31.09% ,429 ,0 ,0.00 ,26.54% ,03/10/22 ,28.00% ,28.00%,S&P 500 Index,2022-03-11 12:59:01
12,"4,270.00 ",+0.25% ,28.80 ,29.05 ,29.30 ,31.70 ,-8.30 ,-20.75% ,214 ,0 ,0.00 ,26.22% ,03/10/22 ,28.00% ,28.00%,S&P 500 Index,2022-03-11 12:59:01
13,"4,275.00 ",+0.36% ,31.60 ,31.85 ,32.10 ,34.20 ,-8.60 ,-20.09% ,921 ,0 ,0.00 ,26.03% ,03/10/22 ,28.00% ,28.00%,S&P 500 Index,2022-03-11 12:59:01
14,"4,280.00 ",+0.48% ,34.30 ,34.80 ,35.30 ,36.38 ,-6.01 ,-14.18% ,363 ,0 ,0.00 ,25.83% ,03/10/22 ,28.00% ,28.00%,S&P 500 Index,2022-03-11 12:59:01
15,"4,285.00 ",+0.60% ,37.50 ,38.00 ,38.50 ,39.17 ,-8.78 ,-18.31% ,162 ,0 ,0.00 ,25.71% ,03/10/22 ,28.00% ,28.00%,S&P 500 Index,2022-03-11 12:59:01
16,"4,290.00 ",+0.72% ,40.80 ,41.35 ,41.90 ,43.37 ,-7.08 ,-14.03% ,254 ,0 ,0.00 ,25.58% ,03/10/22 ,28.00% ,28.00%,S&P 500 Index,2022-03-11 12:59:01
17,"4,295.00 ",+0.83% ,44.30 ,44.85 ,45.40 ,47.00 ,-4.10 ,-8.02% ,94 ,0 ,0.00 ,25.44% ,03/10/22 ,28.00% ,28.00%,S&P 500 Index,2022-03-11 12:59:01
18,"4,300.00 ",+0.95% ,48.00 ,48.50 ,49.00 ,48.52 ,-5.68 ,-10.48% ,556 ,0 ,0.00 ,25.32% ,03/10/22 ,28.00% ,28.00%,S&P 500 Index,2022-03-11 12:59:01
19,"4,305.00 ",+1.07% ,51.80 ,52.30 ,52.80 ,55.69 ,1.04 ,+1.90% ,28 ,0 ,0.00 ,25.15% ,03/10/22 ,28.00% ,28.00%,S&P 500 Index,2022-03-11 12:59:01
